GeneID,Symbol,Gene Name / Type,log2FC,pvalue
26137,ZBTB20,zinc finger and BTB domain containing 20,0.005704500000000001,0.0962420359419425
693153,MIR568,microRNA 568,0,NA
100131117,ZBTB20-AS1,ZBTB20 antisense RNA 1,0,NA
101929754,ZBTB20-AS5,ZBTB20 antisense RNA 5,0,NA
100616166,MIR4796,microRNA 4796,0,NA
104413890,ZBTB20-AS3,ZBTB20 antisense RNA 3,0,NA
100874131,ZBTB20-AS4,ZBTB20 antisense RNA 4,0,NA
101926886,NA,NA,0,NA
105374051,LOC105374051,uncharacterized LOC105374051,0,NA
2596,GAP43,growth associated protein 43,-0.027095,0.32559061560030744
4045,LSAMP,limbic system associated membrane protein,5.969999999999999e-4,0.8767831852217927
105374053,LOC105374053,uncharacterized LOC105374053,0,NA
109623450,SNORD155,"small nucleolar RNA, C/D box 155",0,NA
107986116,LOC107986116,uncharacterized LOC107986116,0,NA
105374052,LOC105374052,uncharacterized LOC105374052,0,NA
101926903,LSAMP-AS1,LSAMP antisense RNA 1,0,NA
100861506,LINC00903,long intergenic non-protein coding RNA 903,0,NA
285194,TUSC7,tumor suppressor candidate 7,0,NA
100616485,MIR4447,microRNA 4447,0,NA
100506724,LINC00901,long intergenic non-protein coding RNA 901,0,NA
105374054,LOC105374054,uncharacterized LOC105374054,0,NA
105374056,LOC105374056,uncharacterized LOC105374056,0,NA
105374057,LINC02024,long intergenic non-protein coding RNA 2024,0,NA
107986022,NA,NA,0,NA
101926953,LOC101926953,uncharacterized LOC101926953,0,NA
105374058,LOC105374058,uncharacterized LOC105374058,0,NA
105374060,LOC105374060,uncharacterized LOC105374060,0,NA
101926968,LOC101926968,uncharacterized LOC101926968,0,NA
107983969,NA,NA,0,NA
105374059,LOC105374059,uncharacterized LOC105374059,0,NA
152404,IGSF11,immunoglobulin superfamily member 11,-0.009765,0.6444759191586493
100506765,IGSF11-AS1,IGSF11 antisense RNA 1,0,NA
152405,TEX55,testis expressed 55,0,NA
7348,UPK1B,uroplakin 1B,0,NA
8702,B4GALT4,"beta-1,4-galactosyltransferase 4",-4.344999999999999,0.3907890809745175
