GeneID,Symbol,Gene Name / Type
100507143,LINC00708,long intergenic non-protein coding RNA 708
105376396,LOC105376396,uncharacterized LOC105376396
105376397,LOC105376397,uncharacterized LOC105376397
105376398,LOC105376398,uncharacterized LOC105376398
105376399,LOC105376399,uncharacterized LOC105376399
105376400,LOC105376400,uncharacterized LOC105376400
105755953,LINC02676,long intergenic non-protein coding RNA 2676
101928272,LOC101928272,uncharacterized LOC101928272
100507163,LINC00709,long intergenic non-protein coding RNA 709
112268059,NA,NA
105376402,LINC02663,long intergenic non-protein coding RNA 2663
105376403,LOC105376403,uncharacterized LOC105376403
101928298,LINC02670,long intergenic non-protein coding RNA 2670
107984207,LOC107984207,uncharacterized LOC107984207
101928322,CELF2-DT,CELF2 divergent transript
10659,CELF2,CUGBP Elav-like family member 2
207107,SFTA1P,"surfactant associated 1, lncRNA"
105376405,NA,NA
254312,LINC00710,long intergenic non-protein coding RNA 710
439950,CELF2-AS2,CELF2 antisense RNA 2
414196,CELF2-AS1,CELF2 antisense RNA 1
105376409,LOC105376409,uncharacterized LOC105376409
9712,USP6NL,USP6 N-terminal like
105376411,LOC105376411,uncharacterized LOC105376411
105376410,LOC105376410,uncharacterized LOC105376410
107984208,USP6NL-AS1,USP6NL antisense RNA 1
105376413,LOC105376413,uncharacterized LOC105376413
105376412,LOC105376412,uncharacterized LOC105376412
79746,ECHDC3,enoyl-CoA hydratase domain containing 3
105379850,LOC105379850,uncharacterized LOC105379850
105376415,LOC105376415,uncharacterized LOC105376415
254427,PROSER2,proline and serine rich 2
219731,PROSER2-AS1,PROSER2 antisense RNA 1
26019,UPF2,UPF2 regulator of nonsense mediated mRNA decay
105376416,LOC105376416,uncharacterized LOC105376416
55526,DHTKD1,dehydrogenase E1 and transketolase domain containing 1
55176,SEC61A2,SEC61 translocon subunit alpha 2
100616488,MIR548AK,microRNA 548ak
11164,NUDT5,nudix hydrolase 5
8872,CDC123,cell division cycle 123
57118,CAMK1D,calcium/calmodulin dependent protein kinase ID
107984209,LOC107984209,uncharacterized LOC107984209
100616151,MIR4480,microRNA 4480
100616320,MIR4481,microRNA 4481
100313841,MIR548Q,microRNA 548q
83643,CCDC3,coiled-coil domain containing 3
105376418,LOC105376418,uncharacterized LOC105376418
10133,OPTN,optineurin
55388,MCM10,minichromosome maintenance 10 replication initiation factor
221044,UCMA,upper zone of growth plate and cartilage matrix associated
5264,PHYH,phytanoyl-CoA 2-hydroxylase
22929,SEPHS1,selenophosphate synthetase 1
105376419,LOC105376419,uncharacterized LOC105376419
105376420,LOC105376420,uncharacterized LOC105376420
222389,BEND7,BEN domain containing 7
105376421,BEND7-DT,BEND7 divergent transcript
105376422,LOC105376422,uncharacterized LOC105376422
8559,PRPF18,pre-mRNA processing factor 18
55691,FRMD4A,FERM domain containing 4A
105376426,LOC105376426,uncharacterized LOC105376426
105376425,FRMD4A-AS2,FRMD4A antisense RNA 2
101928453,FRMD4A-AS3,FRMD4A antisense RNA 3
100422843,MIR4293,microRNA 4293
100302116,MIR1265,microRNA 1265
83641,FAM107B,family with sequence similarity 107 member B
105376429,LOC105376429,uncharacterized LOC105376429
105376428,NA,NA
441549,CDNF,cerebral dopamine neurotrophic factor
51182,HSPA14,heat shock protein family A (Hsp70) member 14
79723,SUV39H2,SUV39H2 histone lysine methyltransferase
64421,DCLRE1C,DNA cross-link repair 1C
644890,MEIG1,meiosis/spermiogenesis associated 1
108949267,ACBD7-DCLRE1CP1,ACBD7-DCLRE1CP1 readthrough
105376432,DCLRE1CP1,DNA cross-link repair 1C pseudogene 1
55301,OLAH,oleoyl-ACP hydrolase
414149,ACBD7,acyl-CoA binding domain containing 7
221060,RPP38-DT,RPP38 divergent transcript
10557,RPP38,ribonuclease P/MRP subunit p38
105376431,LOC105376431,uncharacterized LOC105376431
9397,NMT2,N-myristoyltransferase 2
107984210,LOC107984210,uncharacterized LOC107984210
100192204,PPIAP30,peptidylprolyl isomerase A pseudogene 30
105376434,LOC105376434,uncharacterized LOC105376434
107984211,LOC107984211,uncharacterized LOC107984211
