GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
100422864,0.6279,0,0.6726,0,0,0,0,0
3693,92.93,86.89,97.27,90.44,89.51,87.26,112.3,113.4
56667,0,0.01844,0.01822,0,0,0,0.02115,0
57493,0.717,0.8445,1.249,1.06,0.7354,0.7226,1.02,1.214
84561,9.405,9.759,9.851,10.56,9.27,9.013,9.563,7.806
100847039,0,0,0,0,0,0,0,0
7707,9.755,8.746,12.43,12.32,8.53,12.14,10.78,8.308
105374080,0.04982,0.05402,0.02669,0.1778,0.07638,0.1293,0.03097,0.1832
105374081,0,0,0,0,0,0,0,0
8723,40.47,39.94,56.72,51.22,37.57,49.38,42.28,35.21
114885,12.82,12.81,17.71,16,12.17,14.14,14.14,12.7
105374312,0,0,0,0,0,0,0,0
100302204,0,0,0,0,0,0,0,0
101927056,3.384,3.602,2.702,2.898,4.905,3.937,4.361,3.709
102723696,1.016,1.136,1.088,1.155,1.825,1.894,1.401,1.027
100125556,10.49,10.43,9.614,9.112,9.712,10.04,8.652,8.504
200810,3.067,2.96,3.03,2.923,3.441,3.612,3.016,2.902
152015,0.08273,0.04485,0,0.1771,0,0,0.1543,0
54946,40.34,40.49,37.44,37.74,37.24,36.5,34.25,28.45
105374085,5.442,4.689,6.524,6.534,4.917,5.859,5.825,4.186
112267887,0.09776,0,0.03491,0,0.04995,0.1691,0.08103,0.04792
10840,0.07921,0.1574,0.1273,0.1131,0.1214,0.137,0.08207,0.1359
100874204,0.2241,0.243,0.1201,0.16,0,0.09691,0,0.1648
105374083,0,0,0,0,0,0,0.02838,0
100862662,0,0,0,0,0,0.01822,0,0
107986124,0,0,0,0,0,0,0,0
28999,1.381,1.133,0.8432,1.144,0.7131,0.7488,0.7919,0.9786
105374088,0.03168,0,0,0,0,0.02739,0,0
107986044,0,0,0,0,0,0,0,0
100506907,0,0,0,0,0,0,0,0
348807,0.01202,0.01303,0.07727,0,0,0.03119,0.02989,0.03535
79364,16.14,14.65,17.44,18.47,14.66,14.52,13.8,13.48
131669,0,0.01542,0.01523,0,0,0.03689,0.01768,0
166012,0,0,0,0,0,0,0,0
152065,0.01383,0.015,0,0,0,0,0.0172,0.01017
105374090,1.521,0.8245,1.303,1.086,2.099,2.104,2.08,0.671
114112,16.9,16.14,18.67,16.4,18.64,20.48,19.97,16.55
255330,0,0,0,0,0,0,0,0
84303,3.408,3.768,2.469,2.874,3.332,3.131,3.149,2.662
5361,23.47,21.82,21.67,18.8,27.78,25.07,32.7,32.25
285311,0,0,0,0,0,0,0,0
100419008,0,0.04894,0.1451,0.1933,0,0,0.05612,0.1991
101927123,0,0,0.0566,0.07542,0.08099,0,0,0
105374094,0,0.1902,0,0,0,0,0,0
101927149,0,0,0,0,0,0,0,0
107986125,0,0,0,0.01736,0.01864,0,0,0
131601,18.08,17.37,15.13,17.51,19.11,18.07,19.48,21.94
102466199,0,0.8045,0,0,0,0,0.9227,0
102465857,0,0,0,0,0,0,0,0
4171,44.33,36.74,55.52,46.56,29.91,29.23,39.49,32.69
107986126,12.52,11.06,16.12,15.34,8.946,9.64,11.98,10.71
50512,71.94,72.78,72.17,68.56,86.72,80.01,87.47,83.54
80325,7.648,6.614,5.919,5.409,8.434,8.125,7.016,6.779
11343,2.779,2.806,2.31,2.321,2.9,2.848,2.579,1.915
107986127,0.02471,0.07145,0.008825,0.01176,0,0.02137,0.06146,0.01211
107986129,0.034,0.03686,0,0,0,0.0147,0,0
105374096,0,0,0,0,0,0,0,0
166348,0.005301,0.02874,0.005679,0,0.008127,0.01375,0.01977,0.007795
102723759,0.259,0.156,0.1695,0.3081,0.2647,0.2115,0.1789,0.1058
29927,501.4,495.7,545.4,570.7,467.9,463.7,503.9,469.5
8607,61.08,60.12,71.17,66.48,57.49,57.5,66.5,58.04
100874089,0.1666,0.1806,0.2677,0.2378,0.1277,0.1441,0.1036,0
60678,13.55,14.1,12.26,12.71,14.23,12.57,12.17,13.52
165721,0,0,0,0,0.02057,0,0.03337,0.01973
285224,0,0,0,0,0,0,0,0
2624,10.41,9.81,9.596,8.55,11.78,10.96,9.881,11.53
101927167,0.1246,0.1351,0.1557,0.08895,0.09552,0.10780000000000001,0.07747,0.06108
90246,0.05321,0.03846,0.019,0,0.02719,0,0.02206,0.05217
23434,0,0,0,0,0,0,0,0
6184,701.2,689.7,596.9,605.3,560.6,530.2,559.3,493.7
7879,468.3,467.8,581.9,546.5,450.7,469.9,504.3,527.9
113219457,0,0,0,0,0,0,0,0
653712,2.262,1.587,2.281,2.216,1.972,2.033,2.372,2.479
28976,60.18,59.1,67.9,55.14,64.36,57.1,61.13,53.44
57501,2.616,2.818,3.039,2.871,3.166,3.098,2.866,2.805
79825,2.729,3.185,2.292,3.021,4.485,3.42,2.962,3.503
2815,0,0,0,0,0,0,0,0
100534599,19.3,19.15,20.19,19.47,19.23,18.67,21.65,21.6
339122,12.8,12.93,11.64,10.95,12.79,12.55,15.54,16.7
57461,18.66,19.32,23.92,24.18,18.88,19.07,19.92,19.6
7555,262.3,251.3,294,295.4,235.6,264.7,256.4,234.9
105374101,10.7,8.863,5.812,4.031,8.431,8.29,6.468,5.901
105374102,0,0,0.06122,0,0,0,0,0.08403
22820,445.2,437.9,477.4,494.3,439.7,408.9,392,369.4
102465496,0,0,0.5354,0,0.7661,0,0.6214,0
56941,69.75,71.77,77.7,69.76,82.91,84.7,81.76,83.65
8971,194.9,159.2,178.7,224.6,131.6,139.3,147.8,211.5
339942,1.139,1.114,0.933,0.5739,1.952,1.526,1.555,1.675
132241,3.887,3.857,3.054,2.959,3.684,3.259,3.31,2.771
677797,1.762,1.146,1.51,1.006,3.241,2.742,6.571,2.072
90288,0.07825,0.02828,0.02794,0.01241,0.0933,0.04511,0.04324,0.1023
8930,20.18,19.35,31.6,26.97,20,20.54,23.66,21.2
55764,12.58,12.12,17.16,15.86,12.54,11.83,13.25,13.41
6010,0,0,0,0,0,0,0,0
132243,0,0,0,0,0.01494,0,0,0
23129,9.98,11.04,10.81,8.294,10.88,9.313,11.95,11.17
23023,12.31,12.31,15.59,13.7,13.01,13.33,15.34,12.93
100507032,0.8263,0.8048,0.6901,0.6198,0.8373,0.9325,0.5921,0.6796
7200,0.06279,0.06808,0.03363,0,0.04813,0.02715,0.03904,0.04617
644974,0.9702,1.402,0.9623,0.9746,1.597,1.181,1.117,1.11
105374105,0.1246,0,0.089,0.0593,0.1274,0.03592,0.1549,0.1222
729375,7.291,7.729,6.744,5.518,12.56,11.29,7.741,7.522
105374104,7.973,8.747,5.5,5.472,12.7,12.26,7.413,6.123
105374103,0.4738,0.5886,0.5498,0.5072,0.7566,0.8621,0.5891,0.7983
107986131,1.558,2.172,0.9539,0.4767,2.616,2.471,0.7381,0.6547
107986133,0.2109,0.1143,0.1694,0.07526,0.2425,0.04559,0.1966,0
646300,0.01604,0.05217,0.04009,0.007632,0.1065,0.05085,0,0.01572
105374106,0,0,0,0,0.0604,0,0,0.1159
256076,0,0,0,0,0,0,0,0
131873,0.005375,0.005827,0.002879,0.003836,0.00412,0.006972,0,0
30849,18.63,17.8,22.36,17.13,19.53,20.58,22.12,15.91
107986023,0.04067,0.04409,0.05808,0.01935,0,0.02344,0.08427,0.0598
105374107,0.02015,0,0.02159,0.02877,0,0,0,0
105374108,0,0,0,0,0,0,0,0
27032,38.8,36.34,47.82,44.71,37.58,42.9,45.47,34.9
